date,doctor_id,count
2020-06-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-08-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,1
2020-10-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,8
2020-10-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,13
2020-10-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2020-10-20,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-10-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2020-10-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-10-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2020-10-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-10-27,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2020-10-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2020-10-29,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-10-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-02,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-03,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2020-11-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2020-11-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,9
2020-11-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2020-11-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2020-11-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2020-11-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2020-11-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-17,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2020-11-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2020-11-19,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-11-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2020-11-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2020-11-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2020-11-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2020-11-26,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2020-11-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-11-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2020-12-01,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2020-12-02,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-12-03,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-12-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-12-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2020-12-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2020-12-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2020-12-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2020-12-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-12-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2020-12-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2020-12-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-12-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2020-12-17,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2020-12-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2020-12-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2020-12-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2020-12-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2020-12-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2020-12-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2020-12-29,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2020-12-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2020-12-31,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2020-12-31,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-01-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2021-01-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-01-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-01-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-01-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,1
2021-01-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-01-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-01-11,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-01-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-01-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-01-14,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-01-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-01-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-01-19,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-01-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-01-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-01-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-01-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-01-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-01-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-01-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-01-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-02-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-02-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-02-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-04,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-02-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-02-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-02-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-11,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-02-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2021-02-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-02-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-02-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-18,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-02-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-02-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-02-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-02-24,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-02-25,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-02-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-03-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-03-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-03-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-03-04,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-03-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-03-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-03-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-03-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-03-11,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-03-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-03-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-03-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-03-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,1
2021-03-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-03-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-03-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-03-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-03-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-03-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-03-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-03-25,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-03-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-03-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-03-30,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-03-31,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-04-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-04-01,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-04-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-04-06,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-04-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-04-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-04-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2021-04-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-04-13,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-04-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-04-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-04-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-04-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-04-20,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-04-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-04-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-04-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-04-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-04-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-04-27,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-04-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-04-29,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-04-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-05-04,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-05-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-05-06,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-05-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-05-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-05-11,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-05-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-05-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-05-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-05-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-05-18,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-05-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-05-20,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-05-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-05-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-05-25,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-05-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-05-27,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-05-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-05-31,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-06-01,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-06-02,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-06-03,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-06-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-06-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-06-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-06-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-06-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-06-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-06-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-06-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-06-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-06-17,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-06-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-06-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,12
2021-06-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-06-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-06-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-06-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-06-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-06-29,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-06-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-07-01,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-07-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-06,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-07-07,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-08,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-07-09,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-07-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-07-13,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-07-14,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-07-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-15,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-07-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-20,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-07-21,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-22,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-07-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-07-26,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-28,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-07-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-07-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-08-02,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-08-03,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-08-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-08-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-08-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-08-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-08-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-08-16,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-08-17,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-08-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-08-19,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-08-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-08-23,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,9
2021-08-24,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-08-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-08-26,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-08-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,12
2021-08-30,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,13
2021-08-31,9740afb3-f206-4f48-9a2c-cd97d6111cd6,8
2021-09-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-09-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-09-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-09-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-09-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,7
2021-09-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,8
2021-09-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-09-14,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-09-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,1
2021-09-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,1
2021-09-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-24,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-09-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-09-28,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-09-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-09-30,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-10-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-04,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-05,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-10-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-10-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-10-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-11,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-12,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-10-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,2
2021-10-14,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-10-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-10-18,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-10-19,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-10-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-10-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-10-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-10-25,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-10-26,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-10-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-10-28,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-10-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,8
2021-11-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-11-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-05,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-11-10,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-11-11,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-11-12,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-11-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
2021-11-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-11-18,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-11-19,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-11-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-11-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-11-24,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-11-25,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-11-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-11-30,9740afb3-f206-4f48-9a2c-cd97d6111cd6,2
2021-12-01,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-12-02,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-12-03,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-12-06,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-12-07,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-12-08,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,7
2021-12-09,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-12-10,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,6
2021-12-13,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-12-14,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-12-15,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-12-16,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-12-17,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-12-20,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-12-21,9740afb3-f206-4f48-9a2c-cd97d6111cd6,3
2021-12-22,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,3
2021-12-23,9740afb3-f206-4f48-9a2c-cd97d6111cd6,4
2021-12-27,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,5
2021-12-28,9740afb3-f206-4f48-9a2c-cd97d6111cd6,5
2021-12-29,357b2d91-6dd1-48eb-90aa-30afc26c9ac6,4
2021-12-30,9740afb3-f206-4f48-9a2c-cd97d6111cd6,6
